date,Unnamed: 0,lat,lon,temperature_2m_mean,temperature_2m_max,temperature_2m_min,wind_speed_10m_mean,wind_speed_10m_max,shortwave_radiation_sum,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,precipitation_sum,soil_moisture_0_to_10cm_mean,gdd,is_precipitation_above_threshold,is_extreme_precipitation,consecutive_dry_days,is_heat_stress,is_wind_above_threshold,is_humidity_above_threshold,soil_moisture_deficit,solar_radiation_mj
1950-08-03 00:00:00+00:00,214,13.532513618469238,-14.25823974609375,27.165594,31.782772,23.131006,2.2908778,4.1088924,23.053247,78.756905,99.50896,54.77106,3.3240068,0.36869013,17.456889,False,False,0,False,False,False,0.0,23.053247
1950-08-04 00:00:00+00:00,215,13.532513618469238,-14.25823974609375,24.810318,29.726326,21.772173,3.5309038,4.4858246,17.26977,83.759735,99.49376,59.834152,15.084599,0.39498925,15.749249499999998,True,False,0,False,False,False,0.0,17.26977
1950-08-05 00:00:00+00:00,216,13.532513618469238,-14.25823974609375,26.455042,29.919876,22.56334,2.2993433,3.9650533,21.886503,68.76257,85.478584,56.89724,0.0,0.37928838,16.241608,False,False,1,False,False,False,0.0,21.886503
1950-08-06 00:00:00+00:00,217,13.532513618469238,-14.25823974609375,25.899769,29.413425,22.954506,1.9492397,2.7155669,19.544987,83.76541,99.46339,69.96033,7.9244976,0.3705875,16.1839655,True,False,0,False,False,False,0.0,19.544987
1950-08-07 00:00:00+00:00,218,13.532513618469238,-14.25823974609375,25.444492,30.206978,23.395676,1.7753834,2.3641486,20.632126,95.76825,99.4482,72.02342,11.587582,0.38788664,16.801327,True,False,0,False,False,True,0.0,20.632126
1950-08-08 00:00:00+00:00,219,13.532513618469238,-14.25823974609375,25.839218,30.000525,23.43684,1.7787681,2.5576508,18.204943,90.77108,99.43301,69.0865,7.5824513,0.38518578,16.7186825,True,False,0,False,False,True,0.0,18.204943
1950-08-09 00:00:00+00:00,220,13.532513618469238,-14.25823974609375,26.033941,29.344074,22.878008,2.1386297,4.0377316,17.998625,82.77391,99.417816,64.1496,0.0,0.38348493,16.111041,False,False,1,False,False,False,0.0,17.998625
1950-08-10 00:00:00+00:00,221,13.532513618469238,-14.25823974609375,26.778666,30.387627,22.619175,2.857045,3.8721836,21.203705,72.77676,90.40262,59.212677,0.08518298,0.37178403,16.503400999999997,False,False,2,False,False,False,0.0,21.203705
1950-08-11 00:00:00+00:00,222,13.532513618469238,-14.25823974609375,26.12339,29.78118,24.010342,3.2204776,4.4462123,12.3385935,82.77959,98.38743,65.275764,3.8329456,0.3650832,16.895761,False,False,0,False,False,False,0.0,12.3385935
1950-08-12 00:00:00+00:00,223,13.532513618469238,-14.25823974609375,24.168114,24.524729,23.201508,2.8683138,3.5366795,13.979093,96.78242,98.37224,95.33886,16.69338,0.38638234,13.863118499999999,True,False,0,False,False,True,0.0,13.979093
1950-08-13 00:00:00+00:00,224,13.532513618469238,-14.25823974609375,25.512838,28.018276,23.242674,3.0536737,3.9277675,14.421394,81.785255,94.35704,72.40195,0.4258206,0.38468146,15.630475,False,False,1,False,False,False,0.0,14.421394
1950-08-14 00:00:00+00:00,225,13.532513618469238,-14.25823974609375,23.557566,24.611828,22.433842,2.1598835,2.6312397,9.174393,95.7881,100.0,86.46503,26.739622,0.38498056,13.522835,True,False,0,False,False,True,0.0,9.174393
1950-08-15 00:00:00+00:00,226,13.532513618469238,-14.25823974609375,23.352287,26.305378,22.275005,2.7053537,4.72172,8.521727,96.790924,100.0,80.528114,19.584974,0.44227973,14.290191499999999,True,False,0,False,False,True,0.0,8.521727
1950-08-16 00:00:00+00:00,227,13.532513618469238,-14.25823974609375,23.247013,28.048927,21.966175,2.7109182,3.416511,11.256792,97.793755,99.31146,74.59121,18.47672,0.4275788,15.007551,True,False,0,False,False,True,0.0,11.256792
1950-08-17 00:00:00+00:00,228,13.532513618469238,-14.25823974609375,22.041739,23.792477,21.307343,2.3543415,4.578196,5.7585416,99.79659,100.0,92.6543,33.885876,0.44787797,12.54991,True,False,0,False,False,True,0.0,5.7585416
1950-08-18 00:00:00+00:00,229,13.532513618469238,-14.25823974609375,24.736464,30.186024,21.54851,1.996313,4.0262265,20.449373,87.79943,99.28108,58.717384,4.4270043,0.43917713,15.867266999999998,False,False,0,False,False,False,0.0,20.449373
1950-08-19 00:00:00+00:00,230,13.532513618469238,-14.25823974609375,24.431187,28.979574,21.789677,1.8186734,2.505195,14.861992,92.80227,99.26589,69.780464,5.7887783,0.4294763,15.384625499999999,True,False,0,False,False,True,0.0,14.861992
1950-08-20 00:00:00+00:00,231,13.532513618469238,-14.25823974609375,26.325912,31.623123,22.280842,2.1870756,3.874104,22.2195,81.80511,99.2507,54.84356,0.0,0.4227754,16.9519825,False,False,1,False,False,False,0.0,22.2195
