date,temperature_2m_mean,precipitation_sum,soil_moisture_deficit,solar_radiation_mj,gdd,cv_temperature,cv_precipitation,is_extreme_precipitation,is_heat_stress,is_humidity_above_threshold,is_wind_above_threshold,consecutive_dry_days,season_start_shift,season_length
2033-12-31 00:00:00+00:00,29.282164921505377,400.02812735,0.17627409000000024,3031.7527615,3004.7650115,4.084657804097855,138.82959376418742,0,0,20,0,38.0,11,144
2034-12-31 00:00:00+00:00,29.440702187956987,492.85289301,0.17611023000000023,3075.6917795,3044.918941,6.105121728763865,158.0785560335745,1,0,30,0,19.0,6,126
2035-12-31 00:00:00+00:00,28.391777138494625,845.058139052,0.12617729000000014,2769.4329907399997,2888.2228745,6.802133989211042,192.89415476418174,2,0,40,0,23.0,0,141
2036-12-31 00:00:00+00:00,28.590014678279566,712.3627581320001,0.13839277000000014,2958.2278873,2911.0860425,5.552570097271634,152.92907821843315,2,0,34,1,24.0,0,132
2037-12-31 00:00:00+00:00,28.688734912903225,894.366640342,0.13430141000000026,2852.9084347000003,2933.9400029999997,6.505601959235675,160.66411843654757,2,1,42,0,27.0,7,135
2038-12-31 00:00:00+00:00,29.11998173204301,618.29773443,0.17424510000000026,3035.5126936,2993.3189445,7.410094554020394,153.61834979622634,1,0,40,0,31.0,14,119
2039-12-31 00:00:00+00:00,28.54684155483871,667.87456221,0.012723430000000008,2842.9124378,2926.6728715,3.342721472662164,147.97916094190975,1,0,38,0,8.0,0,144
2040-12-31 00:00:00+00:00,28.71720814043011,769.110860286,0.15235513000000017,2942.9455146,2925.2860395,4.808267376662349,167.0298544559126,1,0,26,0,24.0,2,125
2041-12-31 00:00:00+00:00,28.738519925376345,813.383507617,0.13046783000000017,2831.0166811999998,2930.640008,5.224416387465958,161.89567557570925,5,0,43,0,24.0,0,138
2042-12-31 00:00:00+00:00,29.447831140860217,611.648895255,0.15167055000000024,2899.1557549,3052.2939340000003,6.623297168551097,163.44238670346473,0,0,38,0,19.0,0,145
2043-12-31 00:00:00+00:00,29.019357750967743,620.491025133,0.15838637000000022,2946.7212181,2975.0478895,6.260663321172951,160.52798315164617,3,0,34,0,18.0,0,126
2044-12-31 00:00:00+00:00,29.30264903483871,525.260319543,0.17099317000000025,2966.3947606,3014.011045,7.398087910628374,171.0909856356152,2,3,26,0,40.0,8,124
2045-12-31 00:00:00+00:00,29.021863984301074,778.6821861679999,0.17600919000000026,2905.192749,2978.389999,5.890206159680866,171.08662196574207,1,0,35,0,39.0,14,112
2046-12-31 00:00:00+00:00,29.420648350967742,750.385049066,0.10410614000000012,2903.3071158000002,3038.4689485,7.49764069041647,167.40637702389049,4,4,35,0,24.0,0,128
2047-12-31 00:00:00+00:00,28.750433079139782,975.3927786649999,0.11590663000000015,2840.4667719,2940.822873,4.36220296160264,153.94956336670674,4,0,39,0,10.0,0,146
2048-12-31 00:00:00+00:00,29.000810368387096,525.288074372,0.06583492000000007,2811.4871984,2964.9360415,5.906897536550761,154.37806009205315,0,0,31,0,13.0,0,142
2049-12-31 00:00:00+00:00,29.5893799511828,733.377009372,0.15712009000000018,3010.8410799000003,3077.714998,6.809581572805964,164.7674744842961,2,0,39,0,25.0,1,137
2050-12-31 00:00:00+00:00,30.573874098924726,381.639174914,0.26533899000000033,3046.3076248,3214.9189375,6.985446140604017,163.5666870615238,1,4,21,0,21.0,6,130
